claim_amount,previous_claims,rejected_claims,claim_frequency,evidence_status,document_consistency,claim_after_policy,risk
718361,2,0,2,2,2,0,High
751912,5,1,1,2,1,18,High
437113,5,3,1,2,2,6,High
88148,4,3,0,1,1,3,Medium
797089,3,3,1,2,2,11,High
668531,9,0,0,0,1,19,Medium
271995,0,4,2,0,0,22,Medium
926606,9,1,1,0,1,24,High
698843,5,3,2,0,2,17,High
930790,1,1,1,1,2,8,High
592843,2,0,0,0,0,18,Medium
276508,7,4,2,1,2,21,High
823591,9,0,2,0,0,3,High
916942,5,1,1,1,2,0,High
126530,2,4,2,1,2,8,High
624365,6,4,0,1,0,14,High
842352,3,0,2,0,2,21,High
480337,8,3,2,1,2,7,High
744839,4,1,1,2,0,14,High
825889,2,2,2,2,1,14,High
479773,1,2,1,0,0,17,Medium
228261,1,0,1,2,2,6,Medium
784469,2,1,2,2,1,21,High
361097,1,1,0,2,1,17,Medium
335139,3,0,1,0,1,15,Medium
191829,1,1,2,0,0,1,Medium
291836,9,3,1,2,1,3,High
458974,8,0,0,0,1,19,Medium
222283,1,3,0,1,1,15,Medium
216769,8,1,1,2,2,2,High
581353,5,0,0,0,0,23,Medium
243165,0,1,2,0,0,22,Medium
643587,3,0,2,2,2,1,High
970110,0,1,1,0,1,2,Medium
555822,5,3,0,2,2,24,High
507879,3,3,2,0,2,4,High
584685,2,1,2,1,1,1,High
802038,2,0,2,2,1,18,High
373531,8,2,1,1,0,23,High
283160,5,3,1,2,1,19,High
599879,8,3,2,0,2,1,High
240884,4,2,2,1,2,1,High
43247,1,1,0,0,1,21,Low
44300,7,0,0,2,0,23,Medium
487281,4,1,0,2,2,22,High
627086,1,4,1,2,1,19,High
553556,3,3,2,2,0,17,High
368951,8,4,1,2,0,24,High
294329,3,3,2,1,2,19,High
739064,3,3,0,2,2,24,High
762139,1,4,0,0,0,20,Medium
452315,5,4,0,1,0,13,High
946075,1,1,0,0,0,14,Medium
536588,6,4,2,2,1,11,High
256584,2,1,0,0,2,10,Medium
582332,2,1,2,1,0,10,High
857646,4,1,2,1,2,6,High
998732,2,3,1,1,2,11,High
396896,1,3,0,0,2,15,Medium
68984,9,4,0,1,0,4,Medium
322918,8,3,1,0,1,1,High
284712,1,4,2,2,0,21,High
140151,1,3,0,2,2,15,Medium
475808,7,0,2,0,0,22,Medium
153767,8,0,1,1,0,14,Medium
668663,6,4,2,0,2,10,High
723550,2,3,0,0,2,5,High
156330,8,3,2,0,0,12,High
500754,2,1,2,2,0,18,High
321648,4,2,0,0,0,9,Medium
708519,8,4,0,2,0,23,High
33986,2,2,2,0,1,18,Medium
606146,6,2,2,2,0,4,High
149312,0,4,1,0,1,24,Medium
32666,3,3,0,0,2,20,Medium
320804,3,4,2,1,1,6,High
154633,6,2,0,1,2,10,High
308998,7,3,1,0,1,13,High
870937,0,0,2,0,2,22,Medium
648776,4,4,2,0,0,20,High
727611,6,4,2,0,1,15,High
304806,3,3,0,1,1,17,High
814824,3,0,1,2,2,20,High
50535,3,0,0,0,2,22,Medium
395713,5,3,2,1,1,22,High
858688,6,1,1,0,2,3,High
371279,1,4,2,0,0,0,High
933910,4,4,2,2,1,21,High
841654,3,2,0,0,0,14,Medium
621661,2,3,2,0,1,13,High
667972,6,2,1,2,0,18,High
509570,5,2,2,2,1,4,High
476551,6,0,2,2,2,3,High
293109,4,4,0,2,1,12,High
44538,5,2,1,1,0,17,Medium
914498,4,0,0,1,1,11,Medium
221664,6,3,2,1,0,22,High
511234,1,2,0,0,0,20,Medium
919684,4,4,0,2,0,14,High
159182,5,2,0,2,2,22,High
492525,5,3,0,1,1,8,High
178338,4,2,2,0,0,3,Medium
204064,9,4,2,0,2,4,High
234020,6,0,1,0,0,8,Medium
643094,9,4,0,1,1,12,High
944414,7,0,0,0,2,9,High
917421,6,1,1,0,0,15,High
635270,4,4,0,0,0,12,High
665914,0,4,1,2,0,3,High
139176,4,3,2,1,1,20,High
937710,9,2,1,2,2,12,High
238126,1,0,0,2,2,20,Medium
238969,4,0,1,1,2,7,High
142409,4,3,2,2,0,12,High
567707,1,3,0,0,2,14,High
988140,4,2,2,0,0,19,High
273618,3,2,2,0,1,19,High
789598,0,4,1,0,2,12,High
70015,2,1,2,1,0,22,Medium
792838,0,2,0,2,2,4,High
142096,4,3,2,2,2,21,High
651347,3,2,2,0,1,21,High
205340,6,0,1,0,2,5,High
130687,4,1,2,2,1,4,High
894371,9,4,1,1,2,12,High
431357,3,0,1,2,2,4,High
755716,1,0,0,0,2,24,Medium
125878,3,1,0,0,2,12,Medium
747270,1,4,0,1,2,23,High
993548,7,3,0,2,2,19,High
218286,2,4,1,1,1,22,High
793290,8,2,2,1,1,7,High
794684,3,0,0,0,0,8,Medium
184899,5,2,0,2,2,20,High
993324,9,3,0,0,1,18,High
344767,4,2,2,2,2,19,High
881882,9,4,0,0,2,14,High
899858,0,2,2,0,1,21,Medium
399989,8,3,1,2,2,9,High
435515,0,3,1,2,1,10,High
63585,7,3,1,0,1,4,Medium
391369,8,4,2,2,0,8,High
84044,8,3,0,0,0,10,Medium
980061,0,0,0,2,0,18,Medium
462296,1,3,0,0,0,1,Medium
129556,0,2,0,0,2,5,Low
546981,9,2,0,0,2,22,High
901691,1,2,2,1,0,20,High
787595,9,4,1,2,1,0,High
220235,7,2,0,0,1,2,Medium
45939,4,4,1,1,1,2,Medium
986429,6,4,2,0,1,13,High
980445,1,3,2,1,2,19,High
172906,7,0,0,0,1,21,Medium
562335,5,3,2,0,1,4,High
308249,7,3,1,1,0,16,High
95766,0,4,0,1,1,14,Medium
428923,0,4,0,2,2,5,High
435192,6,2,1,2,1,13,High
588550,7,2,0,1,1,13,High
407261,2,3,0,2,2,24,High
830208,4,1,1,1,0,16,High
705440,0,1,0,2,2,7,High
672664,6,2,0,0,0,7,High
474589,4,1,1,2,1,18,High
157848,7,2,2,0,0,8,Medium
637075,7,4,1,0,0,10,High
147948,8,3,0,2,0,12,High
599304,6,0,1,1,1,12,High
422690,0,3,0,0,0,23,Medium
519046,2,2,0,0,0,18,Medium
471269,7,2,1,2,1,20,High
41959,2,3,0,1,2,18,High
680890,7,2,2,1,2,4,High
770216,0,1,0,2,2,15,High
925533,4,1,1,1,1,8,High
810180,3,2,2,2,1,19,High
248576,4,2,2,2,2,21,High
557833,7,1,0,2,0,2,High
934091,9,2,1,0,2,18,High
185838,3,2,0,0,1,4,Medium
355674,3,3,0,0,0,7,Medium
899989,2,0,1,2,0,13,High
81087,6,1,1,0,1,23,Medium
613128,2,3,0,0,0,2,High
138451,2,0,2,0,2,23,Medium
467600,9,2,0,2,1,12,High
857437,4,2,2,2,1,10,High
459792,4,3,0,2,1,7,High
59353,5,2,1,0,1,18,Medium
213075,7,4,2,1,0,9,High
234283,9,3,1,0,1,17,High
334877,5,0,1,0,1,17,Medium
85318,0,3,1,2,0,24,Medium
785313,7,1,1,2,1,6,High
502690,7,3,1,0,0,15,High
436880,8,2,0,0,0,5,Medium
611460,8,2,2,1,1,15,High
760976,1,4,0,1,2,15,High
801239,1,4,0,2,1,22,High
113264,2,4,0,1,2,23,High
790746,0,0,1,1,0,0,Medium
833168,3,4,0,2,2,23,High
245281,3,0,2,1,1,18,High
657147,8,4,0,0,1,2,High
918613,8,0,1,1,2,5,High
414070,8,3,2,2,1,3,High
372228,9,3,2,0,2,3,High
451839,6,2,2,1,0,3,High
289536,1,0,2,0,2,9,Medium
337824,9,1,0,0,2,8,High
277426,4,2,1,1,2,7,High
197789,3,3,2,1,2,18,High
533153,7,0,2,2,0,16,High
762452,1,4,1,2,0,16,High
857291,5,1,0,0,0,0,High
145657,4,3,2,2,2,19,High
255167,1,2,0,0,0,13,Low
701669,9,0,0,0,1,21,Medium
500671,0,1,0,2,0,19,Medium
739094,7,0,0,2,2,10,High
90467,1,4,2,2,1,2,High
203734,6,2,2,1,2,23,High
642794,8,0,0,0,1,7,Medium
129751,8,3,0,0,2,21,High
401050,7,2,1,0,2,24,High
950192,9,3,1,2,1,9,High
831774,8,0,1,2,0,16,High
712517,1,2,2,2,1,7,High
481079,5,3,1,2,1,21,High
388452,3,4,2,2,1,0,High
989587,3,4,2,1,1,19,High
126081,4,0,2,2,1,20,Medium
633333,2,2,2,0,2,6,High
578986,0,1,1,2,2,23,High
130078,7,2,0,0,0,8,Medium
887055,4,4,0,2,0,11,High
42671,2,3,0,2,1,21,High
438400,9,1,1,0,0,8,Medium
375528,6,0,0,0,0,19,Medium
979611,6,1,1,0,1,23,High
630490,0,0,1,0,2,2,Medium
71663,8,1,1,1,2,3,High
35708,1,0,0,0,0,9,Low
898338,4,0,0,2,2,3,High
331955,4,1,0,2,2,21,High
153883,7,1,2,1,0,8,High
338394,7,0,1,0,1,21,Medium
132547,6,4,2,2,0,0,High
930681,6,1,1,1,0,4,High
579042,5,2,0,2,0,8,High
771102,5,3,1,1,1,4,High
782002,8,0,1,1,1,5,High
162483,5,0,2,0,1,18,Medium
678271,1,3,1,1,1,7,High
234835,1,4,0,2,0,9,Medium
421896,4,3,1,2,2,10,High
104896,3,1,1,0,0,12,Medium
497095,1,3,1,0,1,19,Medium
91295,2,0,2,1,2,3,Medium
763974,6,3,1,0,0,10,High
907121,7,2,1,2,2,11,High
293255,5,1,2,2,1,4,High
319648,4,3,2,0,2,9,High
677162,0,0,2,0,2,24,Medium
28155,7,1,2,0,1,23,Medium
486872,2,0,0,1,2,6,Medium
845816,5,4,0,1,0,20,High
394705,2,2,1,2,2,8,High
591542,6,4,0,1,0,8,High
828350,6,2,1,1,2,9,High
630269,8,3,0,1,2,9,High
998217,4,1,2,1,1,1,High
574594,7,3,2,2,1,3,High
167718,9,2,0,0,0,7,Medium
328987,9,2,0,2,1,13,High
665263,7,2,1,1,1,16,High
378745,0,0,1,0,1,12,Low
127512,4,1,1,0,1,20,Medium
167443,2,3,2,0,1,23,Medium
490587,0,3,2,2,0,17,High
393616,3,4,2,0,0,17,High
677409,7,2,2,2,1,12,High
706976,2,2,1,2,1,7,High
385871,9,2,2,1,0,11,High
395037,1,3,2,1,2,24,High
827364,8,4,2,0,0,22,High
137796,9,0,2,0,2,23,Medium
311999,4,1,0,1,1,20,Medium
212506,6,0,1,2,1,0,High
718376,1,3,1,2,0,19,High
289544,8,2,2,1,1,17,High
400002,8,1,0,2,2,2,High
718002,3,3,1,1,2,11,High
559439,3,3,1,1,0,18,High
988911,5,3,2,0,2,24,High
610978,9,1,2,0,0,12,High
548787,9,1,1,1,0,9,High
550583,9,4,1,0,2,14,High
927317,5,4,0,1,2,19,High
408215,0,0,1,2,2,1,High
341184,8,1,1,2,2,18,High
818615,1,1,2,2,2,2,High
442515,4,1,1,2,2,13,High
688234,8,4,2,1,2,6,High
398480,3,3,1,2,1,7,High
52711,2,2,1,2,0,10,Medium
811971,6,4,1,2,0,21,High
521157,5,1,0,2,2,19,High
204423,7,4,2,1,0,5,High
998771,2,0,0,2,2,10,High
536349,4,1,1,0,1,16,High
723714,9,0,0,0,0,9,Medium
932495,3,1,2,0,0,23,High
677917,3,4,1,0,1,16,High
844792,3,3,0,0,1,20,High
757378,9,2,0,0,1,1,High
153272,7,0,2,1,0,5,Medium
787836,5,4,0,0,0,24,High
722335,2,3,2,2,1,4,High
827789,9,4,1,0,1,3,High
663409,4,0,1,1,1,1,High
97505,5,2,0,0,1,11,Medium
22869,4,4,1,2,1,2,High
801474,5,1,1,2,2,5,High
474351,7,3,0,1,1,23,High
332252,6,4,1,1,2,13,High
656584,4,3,0,1,0,7,High
638467,9,1,2,1,0,20,High
110272,5,2,2,0,2,20,High
58467,3,2,2,0,1,13,Medium
829760,8,1,0,2,0,2,High
897844,3,3,0,1,1,15,High
500047,0,4,1,1,1,14,High
679347,6,1,1,0,2,6,High
78871,6,0,1,1,0,14,Medium
959903,3,3,1,2,0,12,High
148391,2,2,1,2,2,5,High
459430,7,1,0,1,1,14,High
630704,4,2,0,2,1,16,High
876703,9,3,2,2,0,3,High
850496,6,2,2,0,2,21,High
276687,3,1,2,2,2,21,High
745451,3,3,2,1,1,13,High
127450,7,0,0,1,1,14,Medium
191890,7,1,0,2,2,11,High
458741,1,4,0,1,0,18,Medium
301974,1,1,1,0,1,21,Medium
954933,2,3,1,2,2,9,High
420109,2,1,2,2,2,5,High
136381,0,0,1,2,2,24,Medium
493125,2,0,0,1,0,8,Medium
591621,5,4,2,1,1,1,High
154508,7,2,2,2,1,3,High
749650,9,3,1,1,1,8,High
882645,5,3,2,1,0,14,High
419111,4,2,1,2,1,12,High
170810,3,0,1,2,1,19,Medium
312890,2,0,2,1,1,7,High
593665,3,1,1,2,1,18,High
985908,6,4,1,2,0,18,High
860477,0,4,1,2,2,24,High
380032,6,4,1,2,2,15,High
977294,0,1,2,1,1,10,High
389599,1,4,0,2,1,9,High
680960,3,2,0,0,1,7,Medium
770020,0,1,1,2,0,0,High
899611,8,2,1,0,1,9,High
191836,5,1,1,2,0,17,High
749903,0,4,0,0,1,2,Medium
65714,0,2,1,0,1,10,Low
994339,5,2,2,2,2,17,High
647234,3,2,2,2,1,2,High
916048,3,1,2,2,0,7,High
650271,5,3,0,0,2,13,High
486960,6,4,1,1,0,5,High
731851,8,2,1,1,2,14,High
144123,9,3,1,2,0,13,High
956093,4,4,0,1,2,6,High
325628,8,4,0,1,0,9,High
102989,3,2,0,2,0,14,Medium
318356,9,2,0,0,1,9,Medium
849957,1,1,2,2,2,21,High
198274,2,3,0,1,2,16,High
707995,0,3,0,0,1,18,Medium
345352,5,2,0,1,0,16,High
840260,5,4,1,0,0,11,High
431927,0,2,1,1,2,14,Medium
809852,2,4,1,2,0,11,High
903184,4,4,2,1,2,24,High
151373,2,2,2,1,2,8,High
458452,9,0,0,0,0,4,Medium
135294,2,3,1,1,0,3,Medium
479451,9,4,2,2,0,11,High
991744,2,4,1,2,1,15,High
668307,4,0,2,2,2,8,High
85726,4,1,2,0,0,24,Medium
161564,3,0,0,0,1,2,Low
397812,0,0,0,1,0,20,Low
288246,4,4,2,1,2,2,High
725696,9,3,0,1,1,17,High
138015,4,0,2,0,2,16,Medium
760674,3,1,2,0,0,9,High
274079,5,2,1,1,0,1,High
570929,9,0,0,0,0,23,Medium
709944,3,0,0,0,1,10,Medium
708105,6,1,0,2,1,23,High
533758,6,3,1,2,1,2,High
960597,1,0,1,1,1,22,Medium
385890,2,0,1,1,0,22,Medium
465101,0,3,0,2,0,1,High
56631,7,1,0,0,0,8,Medium
786577,8,0,0,1,1,18,High
92991,3,3,1,1,1,1,High
24014,5,0,1,1,0,18,Medium
293237,8,2,2,0,0,1,High
38070,5,4,1,2,1,14,High
842209,8,2,2,1,2,23,High
76958,3,0,0,2,0,20,Medium
102074,7,1,1,2,0,2,High
555017,8,4,0,0,0,4,High
775073,3,2,0,0,1,10,Medium
196089,4,3,0,0,0,23,Medium
217392,7,1,0,0,0,6,Medium
178823,9,2,1,0,0,5,Medium
650152,5,3,0,0,0,13,High
413002,6,0,2,1,0,0,High
753429,2,3,1,2,2,16,High
518863,6,2,0,0,2,16,High
387654,7,2,1,1,0,13,High
599036,9,0,2,2,0,9,High
550089,5,3,0,0,0,7,High
170262,9,3,2,0,0,7,High
462905,8,0,0,1,1,13,Medium
255362,5,3,2,2,1,6,High
464209,8,0,0,0,1,5,Medium
573880,3,1,1,2,2,3,High
817079,7,2,0,1,0,0,High
684076,3,1,1,0,1,14,High
239963,1,4,0,2,0,24,Medium
500761,9,4,0,1,0,14,High
268710,8,4,2,1,2,0,High
240984,4,0,2,0,2,19,High
917059,3,3,2,2,1,2,High
876748,1,1,0,0,1,22,Medium
802355,0,1,0,0,2,4,Medium
284512,6,1,0,2,2,4,High
621863,5,1,1,2,0,3,High
288799,1,4,1,2,0,16,High
257549,7,1,0,1,1,20,High
614319,3,3,2,1,1,19,High
504299,7,4,2,2,2,13,High
632210,6,1,2,1,1,7,High
468982,4,0,0,0,0,1,Medium
144046,9,2,2,2,2,7,High
426619,9,2,0,0,0,0,High
52097,7,2,1,2,2,3,High
686326,8,4,2,0,2,18,High
669150,4,1,1,2,0,4,High
250229,9,4,2,0,1,4,High
138834,4,3,0,2,1,20,High
113848,1,0,0,2,1,19,Low
72921,4,0,0,1,1,23,Medium
725086,2,2,0,0,0,18,Medium
670429,6,2,2,1,2,11,High
725660,9,2,1,0,0,19,High
304821,4,1,0,1,1,0,High
75609,7,3,2,2,1,6,High
247897,0,3,1,1,0,16,Medium
994165,2,3,0,1,2,1,High
51024,2,3,1,2,0,10,High
90313,8,2,0,1,0,6,Medium
409957,4,0,1,2,0,16,Medium
204078,8,2,1,0,2,2,High
377429,8,3,0,1,0,21,High
952842,0,2,2,2,0,5,High
481243,1,3,1,2,1,21,High
133632,4,4,0,1,0,10,Medium
957012,3,0,1,0,1,17,Medium
271451,9,4,1,1,1,17,High
23051,8,1,2,2,1,21,High
724107,6,2,1,0,2,9,High
396836,5,1,1,1,1,4,High
631523,6,2,0,2,0,22,High
991525,0,4,0,1,0,22,Medium
741772,0,3,2,0,1,20,High
209407,7,3,1,0,1,23,High
469395,1,2,1,0,0,21,Medium
969597,9,3,1,0,1,14,High
482894,8,4,2,0,2,20,High
231810,6,3,1,1,1,19,High
977238,5,4,0,0,2,22,High
747975,0,1,2,0,2,3,High
93523,0,4,0,2,2,20,Medium
780463,1,0,0,0,1,20,Medium
114476,5,0,2,2,2,0,High
253841,5,0,0,2,2,14,High
823451,1,2,1,2,1,16,High
890045,0,2,2,1,2,18,High
242866,9,2,0,1,1,13,High
106672,4,4,1,2,0,18,High
618135,4,2,1,1,2,17,High
364894,1,1,0,0,1,1,Medium
754994,5,0,1,1,0,5,High
48251,8,4,2,0,2,12,High
647769,1,0,0,0,2,16,Medium
394710,9,2,1,1,1,5,High
570233,1,4,1,1,0,20,High
897284,2,3,0,2,1,21,High
52217,6,1,0,1,2,4,High
28308,5,2,0,1,2,6,High
288093,7,2,0,1,2,0,High
203062,7,1,2,0,2,12,High
414366,5,1,0,0,0,18,Medium
764840,9,3,2,0,0,21,High
120235,2,2,2,2,1,0,High
94740,2,2,0,2,1,12,Medium
398496,0,0,2,2,1,10,Medium
873049,6,4,0,0,2,6,High
770201,4,4,0,1,1,19,High
823328,3,0,1,2,0,2,High
937230,9,4,0,2,1,24,High
197247,3,1,1,0,1,0,Medium
683165,3,4,2,2,0,7,High
549525,5,4,1,1,0,16,High
40056,7,0,2,0,2,12,Medium
196615,7,3,0,0,0,13,Medium
207628,4,4,2,1,0,4,High
658836,5,4,2,1,1,23,High
393632,3,3,0,1,0,21,High
154415,8,0,2,2,2,22,High
426716,7,3,0,1,1,23,High
466438,9,0,1,0,2,5,High
573663,9,1,0,1,0,21,High
685022,0,0,0,0,2,5,Medium
561252,1,1,2,0,2,20,High
657717,8,1,1,2,0,7,High
272764,7,0,0,1,0,12,Medium
734998,2,2,1,2,1,17,High
486882,7,0,1,1,1,22,High
760427,0,4,2,1,1,3,High
532153,9,4,0,1,0,16,High
87215,3,2,2,1,2,4,High
875474,2,1,0,1,2,2,High
164356,5,2,1,0,1,3,Medium
223861,6,4,0,0,1,22,High
375612,3,2,0,1,0,4,Medium
474605,6,0,1,0,2,13,High
29435,8,2,1,2,1,14,High
467556,1,1,0,2,0,19,Medium
719438,2,0,2,2,1,16,High
885264,4,3,0,1,0,5,High
595581,2,4,1,1,2,9,High
98781,7,4,2,0,0,21,High
211475,9,2,1,0,1,22,High
180196,7,0,1,0,1,15,Medium
246507,7,3,2,2,2,16,High
326063,8,0,1,2,2,13,High
784121,3,4,1,2,1,19,High
796665,4,0,1,2,1,11,High
710607,4,3,1,0,1,8,High
141172,7,2,1,1,2,14,High
376902,6,1,1,1,1,11,High
504963,8,0,1,2,2,13,High
475968,7,1,1,1,1,21,High
338717,1,4,1,1,0,17,Medium
79101,9,2,0,1,0,19,Medium
515972,3,2,0,2,1,5,High
308790,5,0,1,0,0,3,Medium
910617,1,2,0,0,2,22,Medium
567337,6,0,2,1,0,11,High
754965,2,0,0,0,0,12,Medium
380260,2,1,1,0,2,18,High
903811,1,2,1,2,0,21,High
612673,7,0,0,2,0,12,High
670419,5,1,1,1,1,11,High
453374,0,3,2,1,2,19,High
740777,0,1,2,1,2,2,High
567577,6,1,1,2,1,2,High
392370,7,0,2,0,1,13,High
907225,4,4,2,2,0,17,High
291967,4,4,0,2,0,18,High
211232,3,4,2,0,0,9,High
324119,5,1,0,0,1,16,Medium
29540,5,0,1,1,2,14,Medium
560652,2,2,0,0,0,18,Medium
417827,8,1,1,0,1,8,High
571951,6,1,1,0,2,3,High
71991,0,0,1,0,1,14,Low
208751,6,3,1,1,0,18,High
386326,4,1,1,1,1,15,High
706337,4,3,0,0,1,7,High
638992,1,3,1,0,1,16,Medium
69115,3,4,2,1,1,20,High
373151,5,0,2,1,2,0,High
763583,9,3,1,0,0,6,High
211962,6,0,2,2,2,20,High
741747,4,4,0,1,1,17,High
169143,8,0,0,1,1,11,Medium
734635,2,1,1,1,0,15,High
556226,0,3,1,0,0,0,High
972699,3,0,1,0,2,14,High
373824,8,2,2,1,2,6,High
24000,3,0,2,0,0,16,Medium
745948,1,3,0,0,2,2,High
907474,9,4,2,1,1,10,High
375754,4,4,0,0,1,5,Medium
271492,2,3,2,2,0,5,High
910123,8,1,0,0,2,14,High
519522,3,1,1,0,1,6,High
511072,5,4,2,1,0,10,High
58304,1,4,0,1,2,16,Medium
524999,5,3,2,2,1,22,High
351593,2,1,1,0,2,17,High
627274,8,4,0,2,2,21,High
171836,1,1,2,2,2,23,High
128940,8,4,2,1,0,20,High
844926,4,0,1,0,1,18,Medium
285517,7,2,1,1,0,7,High
687521,1,0,0,2,1,23,Medium
641820,5,4,2,2,1,19,High
899090,2,2,2,1,0,7,High
405777,9,2,1,1,0,20,High
644674,4,4,1,1,1,10,High
571638,7,4,0,1,1,20,High
637296,9,1,2,1,1,2,High
900729,0,4,2,2,2,22,High
569639,4,3,0,1,1,13,High
632956,2,4,0,0,0,8,High
658873,3,3,1,2,0,24,High
952809,1,4,1,2,0,0,High
357497,8,1,0,0,1,0,High
227869,2,3,0,0,1,11,Medium
85953,1,0,2,2,2,10,Medium
863890,9,3,0,1,2,20,High
520328,8,1,0,2,0,0,High
826790,6,3,2,2,2,19,High
23267,5,4,0,0,2,11,High
102745,0,4,1,2,0,16,Medium
896020,4,1,1,1,1,14,High
844945,2,2,2,0,2,1,High
177164,0,4,0,2,1,17,Medium
555626,3,0,1,2,0,15,High
151484,1,1,1,1,0,3,Low
551831,1,3,1,2,2,7,High
912323,2,3,1,2,0,1,High
971000,7,0,0,2,0,13,High
80692,7,4,0,2,0,24,High
240156,6,1,0,1,2,14,High
243992,5,0,0,2,2,8,High
536771,8,4,1,2,2,1,High
850857,3,1,2,2,0,16,High
583044,0,3,2,0,1,9,High
563176,7,1,1,1,0,8,High
711095,6,2,1,0,2,1,High
853727,6,1,2,0,1,23,High
134352,2,2,2,1,1,18,Medium
889474,3,1,1,0,2,16,High
105999,9,2,1,0,1,10,Medium
37955,8,3,0,0,1,16,Medium
844273,5,4,0,1,2,9,High
90640,4,2,2,2,1,17,High
216582,2,2,1,1,1,22,High
972415,8,3,2,1,2,5,High
996535,4,2,0,1,1,15,High
764086,4,0,0,0,1,17,Medium
420573,3,3,2,2,1,19,High
445695,3,0,0,1,1,17,Medium
81476,0,3,1,1,2,0,High
326955,6,2,2,2,0,2,High
187280,8,0,1,2,0,14,Medium
695510,2,2,1,2,1,19,High
615468,1,3,0,0,2,9,High
718646,2,2,1,2,2,20,High
657144,0,0,2,0,1,4,Medium
874882,5,0,1,1,0,14,High
434568,6,2,1,0,1,22,High
206141,1,1,1,2,2,13,High
918320,7,3,1,0,2,14,High
654736,5,3,1,2,0,9,High
558685,3,2,0,0,2,23,High
979059,4,1,2,1,2,8,High
198031,7,0,0,0,2,11,Medium
938232,2,4,2,1,0,6,High
988021,2,4,2,2,2,4,High
139180,3,2,2,1,1,24,Medium
86234,0,1,2,2,0,23,Medium
584242,8,1,2,2,1,9,High
198352,7,3,1,1,1,24,High
99459,7,0,0,1,0,7,Medium
429995,9,1,0,0,1,21,Medium
215004,5,4,1,0,0,19,High
486152,6,0,2,1,1,24,High
961970,5,0,0,1,0,15,High
974443,8,2,1,1,2,11,High
745256,2,1,1,1,2,8,High
972774,2,2,0,2,1,9,High
79163,2,1,0,1,2,15,Medium
495853,9,3,2,1,0,9,High
71934,2,2,2,1,1,8,Medium
740255,8,2,0,1,2,2,High
445523,3,4,2,2,2,18,High
860530,6,2,1,0,1,10,High
474137,8,1,2,0,2,5,High
25486,6,4,2,0,2,5,High
159407,8,2,1,0,1,14,Medium
893332,2,2,2,0,2,14,High
670308,3,3,1,2,2,12,High
647083,7,2,2,0,2,21,High
240184,5,0,0,2,2,4,High
686490,4,4,2,2,1,13,High
369652,3,0,0,0,0,20,Medium
781315,7,4,0,0,0,1,High
662612,0,3,0,0,2,22,High
342710,8,2,0,1,2,11,High
217775,0,2,0,2,0,19,Medium
309336,7,2,1,0,2,13,High
807494,3,4,1,1,0,18,High
628364,8,2,1,2,1,23,High
109780,4,0,0,1,1,19,Medium
172617,2,2,2,1,1,14,Medium
565977,8,3,1,0,1,19,High
817606,8,0,2,2,1,23,High
370605,3,2,2,1,1,16,High
