claim_amount,previous_claims,rejected_claims,claim_frequency,evidence_status,document_consistency,claim_after_policy,risk
719583,1,4,1,2,1,8,High
440961,0,4,0,2,0,13,Medium
113593,0,2,1,0,1,12,Low
884615,0,3,0,1,2,7,High
445082,3,2,1,0,0,23,Medium
376793,1,1,0,0,0,21,Low
92577,2,1,0,0,0,23,Low
174946,0,0,1,0,1,10,Low
127696,1,3,0,0,1,18,Low
288451,0,2,0,0,0,17,Low
373465,0,3,1,1,0,15,Medium
129017,8,1,1,1,0,24,Medium
862602,0,4,0,0,0,13,Medium
116674,0,2,2,1,0,14,Medium
66101,0,1,0,1,1,17,Low
807223,3,0,0,0,1,21,Medium
951026,9,3,1,0,1,11,High
948567,7,1,1,1,2,6,High
986479,6,0,0,0,1,4,Medium
23825,1,0,0,0,2,2,Low
692081,0,0,0,0,0,15,Low
841052,3,1,1,0,2,23,High
994680,7,2,2,1,0,12,High
887516,1,0,2,2,0,7,High
895512,7,0,1,0,0,1,High
972823,1,0,1,1,1,8,Medium
261836,3,0,1,2,0,6,Medium
29013,1,2,1,0,0,22,Low
339851,1,3,1,0,0,16,Medium
489022,3,1,1,1,1,7,High
123245,1,0,1,0,1,4,Low
146425,3,3,2,0,2,6,High
671229,3,0,2,0,0,13,Medium
782656,4,3,2,2,1,21,High
83035,3,4,2,1,1,6,High
178649,0,4,0,0,0,16,Low
285303,8,0,1,0,1,11,Medium
974769,7,0,2,1,0,3,High
115685,6,2,0,0,0,5,Medium
663309,0,1,1,1,0,4,Medium
737116,0,0,0,0,0,3,Low
946537,6,4,0,1,2,7,High
244421,8,2,2,0,0,0,High
760677,0,0,0,0,0,7,Low
361112,2,1,0,0,0,8,Medium
944573,1,3,0,1,1,10,High
33780,1,0,1,0,2,4,Low
579013,1,0,0,0,0,15,Low
191765,1,3,2,2,0,6,Medium
182480,7,0,1,1,0,16,Medium
177768,2,1,0,0,0,16,Low
313250,1,4,0,0,0,8,Medium
421742,0,0,0,0,0,7,Low
147791,3,0,0,0,0,3,Low
669470,3,0,0,0,0,3,Medium
232678,6,4,0,1,2,5,High
442618,0,0,0,0,0,3,Low
789943,7,2,0,0,1,18,High
353997,8,0,1,0,2,12,High
384534,1,0,1,0,1,13,Low
101396,6,1,2,2,1,2,High
176591,0,2,1,0,0,16,Low
465374,1,2,0,0,0,16,Low
76764,0,4,0,1,1,18,Medium
231190,9,2,0,0,0,23,Medium
79405,4,4,0,1,2,3,High
523166,1,1,0,0,0,16,Medium
103984,0,0,0,0,0,6,Low
463694,1,0,0,2,0,8,Medium
67099,6,1,0,1,0,23,Medium
433228,8,0,2,2,2,8,High
572984,0,1,2,0,0,13,Medium
79938,1,0,2,0,1,10,Low
157405,1,2,1,0,1,9,Low
133613,0,0,0,0,2,4,Low
991525,6,1,0,2,0,18,High
43946,7,2,1,1,1,12,Medium
699574,1,4,1,0,0,15,Medium
379332,2,0,0,2,0,14,Medium
179476,2,0,0,1,0,8,Low
101816,2,0,1,0,1,7,Low
260028,1,1,0,0,0,12,Low
344227,4,2,1,0,0,0,Medium
87196,7,2,0,2,0,2,Medium
391167,9,2,1,1,0,8,High
285652,6,1,1,2,0,3,High
30204,1,1,2,2,0,6,Medium
260733,5,2,1,1,0,24,High
466790,7,4,0,1,1,12,High
554561,4,1,1,1,1,6,High
52574,1,1,0,1,0,16,Low
834906,3,1,2,2,1,5,High
605593,5,4,0,0,0,3,High
357876,4,4,1,2,1,22,High
168586,0,4,1,0,0,22,Low
633111,0,1,1,1,0,15,Medium
260387,2,3,2,0,2,22,High
95992,0,1,0,1,1,24,Low
863252,4,3,0,2,1,5,High
87438,1,1,0,1,1,13,Low
128745,2,4,0,0,0,4,Medium
38343,0,2,0,1,0,22,Low
964175,8,0,2,2,2,1,High
706472,1,2,1,1,1,7,Medium
117210,8,4,2,1,1,17,High
407666,1,0,2,0,1,17,Medium
976027,1,3,0,0,1,4,Medium
222456,0,2,0,0,0,11,Low
72428,4,0,1,0,1,21,Low
880348,4,2,1,0,0,22,Medium
290253,2,0,2,1,0,3,Medium
242666,1,0,0,1,0,20,Low
343406,7,4,2,1,1,19,High
928694,4,2,0,2,2,14,High
37650,1,0,0,1,2,20,Low
298232,4,0,1,2,1,4,High
732757,1,3,2,0,2,16,High
435660,4,1,0,0,2,18,Medium
256824,0,0,0,0,1,6,Low
629598,8,3,2,1,2,19,High
341243,1,4,0,0,2,6,Medium
458976,7,4,0,0,1,10,High
956218,1,0,1,1,2,15,Medium
171665,4,2,0,0,0,8,Low
93334,8,1,0,0,2,22,Medium
194031,0,2,0,1,1,16,Low
642642,3,3,1,0,2,8,High
148497,1,4,1,2,1,13,Medium
208279,2,4,0,1,0,6,High
250413,1,0,0,0,1,11,Low
136775,1,1,1,1,0,2,Low
190102,4,2,0,0,0,6,Low
893055,8,4,2,1,1,11,High
43909,3,0,2,1,2,3,Medium
724824,0,2,0,2,0,16,Medium
100567,1,0,1,0,0,13,Low
276750,0,1,0,2,1,13,Medium
441541,8,2,0,0,0,23,Medium
488596,1,0,0,0,0,13,Low
176649,2,4,0,0,2,10,Medium
554820,9,4,1,0,1,8,High
121367,1,1,0,0,2,22,Low
878667,6,2,2,0,2,0,High
490969,1,0,1,0,1,24,Low
41781,2,0,1,0,0,17,Low
342259,1,0,2,0,1,18,Medium
100481,0,3,1,0,1,24,Medium
81422,1,0,0,1,1,22,Low
688586,4,3,1,2,2,0,High
811523,0,2,0,0,0,17,Medium
432475,0,2,0,0,2,21,Medium
748708,4,3,2,2,0,3,High
871378,2,1,0,1,0,4,High
143185,3,0,0,0,0,6,Low
446389,0,1,2,1,1,0,High
693364,8,2,1,1,1,21,High
737414,0,1,0,2,0,5,Medium
867644,0,1,0,1,0,4,Medium
559561,6,1,2,0,1,14,High
305547,1,0,0,0,0,10,Low
161488,1,1,1,0,1,20,Low
131302,0,1,0,1,1,8,Low
374379,1,1,0,0,0,12,Low
78571,4,0,1,2,0,11,Medium
385437,8,1,1,2,0,3,High
110845,8,1,1,0,2,3,Medium
498706,6,0,0,0,2,5,Medium
181639,1,0,2,0,1,14,Low
569633,7,1,0,1,2,10,High
665337,1,0,0,1,0,20,Medium
342683,0,2,0,0,0,6,Low
123666,0,2,2,0,0,10,Low
717044,8,3,2,0,0,6,High
417067,4,2,0,1,0,12,Medium
108744,7,0,0,0,0,10,Low
23816,0,1,2,0,1,11,Medium
363154,2,0,0,0,2,17,Medium
936258,5,4,1,2,0,3,High
466767,0,0,0,0,0,7,Low
33301,7,0,0,0,0,21,Low
205591,0,2,1,1,1,0,Medium
168217,0,2,0,1,0,15,Low
149453,0,3,0,2,0,4,Medium
841207,9,3,2,1,0,5,High
116651,1,0,1,1,1,22,Low
500884,7,4,1,1,2,4,High
37015,1,0,2,1,0,20,Low
759980,2,3,2,2,2,8,High
610855,2,0,0,0,0,19,Medium
243563,1,1,0,0,0,10,Low
831808,1,0,0,0,0,14,Low
58419,0,3,0,2,1,3,Medium
104201,1,3,1,0,0,15,Low
46999,0,2,0,1,0,24,Low
694276,1,4,0,0,2,11,High
825286,0,1,0,1,0,10,Medium
415460,3,0,2,0,0,12,Medium
174074,0,2,0,0,2,12,Low
144444,5,0,1,1,1,22,Medium
682104,7,3,1,2,1,15,High
422202,6,3,1,0,2,17,High
182347,9,4,0,0,1,12,Medium
531396,4,3,0,2,1,17,High
913242,4,4,0,1,0,5,High
262759,8,3,2,2,2,22,High
93208,6,1,0,0,0,19,Medium
197147,3,3,0,0,2,10,Medium
165057,0,1,1,1,0,19,Low
384890,2,0,0,0,0,13,Medium
75919,1,1,1,0,1,23,Low
248981,3,2,2,0,2,22,High
334720,9,0,2,2,0,1,High
433769,9,3,1,2,0,3,High
830364,5,0,0,2,0,16,High
199383,0,2,1,0,0,14,Low
24521,5,3,0,0,1,24,Medium
96323,4,2,0,1,2,20,Medium
904752,8,2,0,0,2,12,High
98283,3,0,0,1,0,16,Low
694331,0,3,0,0,0,6,Medium
314563,8,0,1,0,0,7,Medium
693150,2,2,0,1,1,23,High
159035,1,0,2,2,2,2,Medium
36849,5,0,0,0,0,22,Low
105041,1,0,1,0,1,13,Low
336837,0,4,1,0,1,5,Medium
85030,1,1,0,1,0,10,Low
59420,1,0,1,1,1,6,Low
749876,1,0,0,0,0,6,Low
287280,1,1,0,0,0,9,Low
97318,3,3,1,0,1,24,Medium
124513,0,2,0,0,0,24,Low
344374,2,3,1,1,2,15,High
34518,0,3,1,0,0,6,Low
44992,1,2,0,0,2,14,Low
326468,5,3,2,1,2,11,High
254872,5,4,0,0,1,16,High
67577,2,0,0,2,0,24,Medium
647770,0,1,1,0,2,10,Medium
83041,4,0,0,1,1,13,Medium
187307,8,4,2,2,1,6,High
141284,0,0,0,1,1,11,Low
757873,0,2,1,2,0,12,High
223981,6,0,1,2,0,19,High
110037,0,0,1,2,0,3,Low
775667,0,0,0,0,0,2,Low
321409,0,3,1,1,1,23,Medium
189299,0,1,0,0,0,18,Low
915386,1,4,1,0,1,9,Medium
711486,5,4,2,2,2,22,High
64158,0,1,0,1,0,23,Low
679209,3,0,1,1,0,5,Medium
156330,5,2,1,1,0,23,Medium
240833,1,2,0,1,2,8,Medium
841154,0,0,0,0,0,21,Low
411685,1,0,0,0,0,11,Low
136615,8,0,1,1,0,15,Medium
74584,1,0,1,0,0,23,Low
937562,9,3,2,2,0,10,High
849975,2,1,0,0,0,10,Medium
968002,8,4,2,0,0,13,High
43409,0,0,0,1,2,3,Low
677311,5,3,0,0,1,13,High
338417,1,1,2,1,1,24,Medium
60856,7,0,1,1,2,5,Medium
805562,0,2,0,2,0,22,Medium
103521,0,0,2,0,1,20,Low
346898,9,3,0,0,2,17,High
206988,8,2,1,1,0,15,High
164258,0,2,1,1,2,5,Medium
262303,4,1,2,0,0,21,Medium
128387,0,0,2,0,0,9,Low
470233,9,2,1,1,2,9,High
444306,7,2,2,2,2,8,High
291935,2,0,1,1,2,23,High
166001,1,1,0,0,0,3,Low
193506,0,0,2,2,1,23,Medium
579872,0,1,2,0,1,18,Medium
159340,2,0,1,1,1,9,Medium
71267,3,0,0,1,1,10,Medium
306214,9,1,0,2,1,24,High
747346,5,3,2,1,2,7,High
385798,4,0,0,0,2,4,Medium
807585,0,2,0,2,2,13,High
159461,3,2,1,1,1,10,Medium
668370,0,2,1,1,2,20,High
466157,1,2,0,0,0,6,Low
88463,7,2,0,0,1,21,Medium
525092,9,1,0,1,0,5,High
379364,0,0,1,0,1,19,Low
137616,9,0,1,1,0,8,Medium
931737,2,4,2,2,0,11,High
90126,1,4,1,0,0,11,Low
106442,4,1,0,0,1,9,Medium
159087,0,0,1,0,0,3,Low
519812,3,1,0,0,1,4,Medium
800132,7,4,2,1,0,23,High
154527,1,0,0,0,1,12,Low
995895,6,1,2,1,0,12,High
977056,0,4,2,2,1,8,High
36242,0,0,1,1,1,14,Low
693844,2,1,2,2,1,2,High
152777,1,3,1,0,0,6,Low
604132,1,4,1,0,2,9,High
261912,1,4,1,0,2,21,Medium
741911,8,0,1,0,1,17,High
600727,0,4,0,1,1,15,High
724225,1,0,1,0,1,8,Medium
154343,1,0,0,1,1,7,Low
20157,0,4,0,0,1,3,Low
370921,1,1,0,0,0,13,Low
124791,6,4,1,0,0,9,Medium
173114,8,4,0,0,0,9,Medium
121471,5,2,1,1,1,4,Medium
858656,8,0,2,2,2,2,High
200324,0,0,0,1,0,7,Low
199306,0,1,2,0,0,16,Low
339710,3,1,1,0,1,3,Medium
348499,8,1,0,0,0,23,Medium
196733,0,2,0,1,0,7,Low
44814,0,4,1,1,2,17,Medium
186321,9,0,0,1,2,10,Medium
405736,2,1,2,0,0,13,Medium
104410,1,2,0,0,2,8,Low
918279,1,1,2,0,1,22,Medium
431236,1,0,0,1,0,13,Low
401724,5,4,1,0,2,4,High
140005,0,2,1,0,0,10,Low
738398,1,0,0,0,0,6,Low
28798,1,2,0,1,0,22,Low
431038,0,4,1,2,1,20,High
351296,0,1,1,0,0,19,Medium
314977,0,2,0,0,0,9,Low
91120,7,0,0,0,0,9,Low
204887,2,0,0,1,2,10,Medium
821379,0,4,0,2,0,5,High
333999,4,1,2,0,0,13,Medium
185591,0,2,1,2,1,6,Medium
131011,8,0,0,1,1,20,Medium
114535,2,1,2,1,2,10,High
346284,0,2,1,2,0,13,Medium
24694,1,2,0,1,0,9,Low
134412,1,0,0,2,0,8,Low
56652,0,0,0,1,0,9,Low
27176,7,4,0,2,0,8,High
35791,0,0,1,0,1,13,Low
620907,4,1,1,2,2,3,High
20133,7,0,0,1,2,14,Medium
553180,4,3,1,1,0,3,High
71377,6,3,2,2,2,24,High
221891,4,0,1,0,1,4,Medium
22578,0,2,0,0,2,23,Low
655929,7,4,2,0,1,8,High
84288,3,0,0,0,1,8,Low
220198,5,2,0,0,2,4,High
320465,4,0,2,0,1,11,Medium
173679,4,1,0,0,0,10,Low
174062,0,3,0,1,2,7,Medium
112550,0,2,0,0,1,4,Low
85509,1,0,0,2,0,19,Low
269212,3,2,1,0,0,0,Medium
903520,4,0,1,0,0,24,Medium
66642,1,0,0,2,0,20,Low
454469,1,0,1,2,0,3,Medium
262225,1,0,0,0,0,17,Low
46403,1,0,0,0,0,7,Low
661424,6,2,2,1,0,14,High
990213,1,2,1,1,0,23,Medium
986762,4,1,1,0,0,14,Medium
164030,0,0,0,1,0,3,Low
149079,1,1,1,0,0,23,Low
102071,0,0,0,0,1,17,Low
904763,0,0,0,0,0,13,Low
85422,1,4,1,0,0,6,Low
483609,1,0,0,0,1,12,Low
523658,0,3,0,2,0,16,High
89136,0,4,0,0,0,16,Low
453374,7,2,2,1,1,0,High
470607,7,0,0,0,2,20,Medium
337302,2,2,1,0,1,11,Medium
278665,1,0,0,1,1,24,Medium
33807,4,1,1,0,2,16,Medium
338726,1,3,0,0,2,2,Medium
513844,3,3,1,1,0,12,High
224118,1,0,0,0,1,8,Low
169115,1,1,0,0,0,6,Low
88677,2,0,1,1,1,22,Medium
717946,5,3,1,0,2,1,High
775664,1,3,1,0,0,8,Medium
589672,5,3,0,1,0,18,High
108343,8,0,0,0,0,18,Low
709197,2,4,0,0,2,24,High
256440,3,4,2,2,0,22,High
181049,1,0,2,0,1,20,Low
901216,2,3,0,1,2,1,High
711298,2,4,2,2,0,19,High
129570,2,0,1,2,0,19,Medium
908465,5,3,0,2,2,9,High
686217,2,2,0,0,1,14,Medium
239589,7,2,0,0,0,22,Medium
803123,1,0,0,0,0,19,Low
951701,0,1,1,1,1,22,Medium
268815,0,1,0,0,0,5,Low
423092,0,0,0,1,0,8,Low
312164,0,0,1,0,1,14,Low
436165,3,1,0,1,1,4,Medium
31125,0,1,0,0,2,8,Low
167131,0,0,0,0,1,8,Low
679021,1,0,0,0,0,8,Low
249681,3,3,1,0,0,13,Medium
311429,2,2,1,1,0,11,Medium
164331,5,0,0,0,0,7,Low
53243,1,2,0,1,0,2,Low
161221,1,1,0,0,1,19,Low
424436,2,2,0,2,0,7,High
499755,1,0,0,0,0,21,Low
458056,2,0,2,2,0,21,High
375612,2,1,2,0,1,0,High
37039,0,0,0,1,1,24,Low
256424,8,3,0,0,1,18,High
696726,5,3,1,2,1,19,High
809417,9,1,1,0,2,4,High
272570,8,0,1,2,0,2,High
67191,4,0,1,2,0,21,Medium
90017,9,0,0,1,2,21,Medium
810078,9,0,1,1,1,9,High
107789,1,3,1,0,0,10,Low
605175,4,2,0,0,1,5,Medium
961260,8,1,1,2,0,12,High
350515,1,2,2,1,2,4,High
868231,9,1,2,0,0,24,High
381912,8,1,2,0,0,0,High
498427,3,4,0,1,1,9,High
171259,1,2,1,0,0,18,Low
428121,8,0,0,2,1,7,High
163992,1,0,1,0,0,17,Low
201749,4,4,0,0,1,2,Medium
364602,6,2,0,1,1,7,High
190725,8,4,1,1,2,21,High
197826,4,0,0,2,2,15,Medium
153172,0,2,0,1,0,17,Low
88721,0,3,0,0,1,7,Low
867124,4,3,0,2,1,6,High
22462,2,1,0,0,0,2,Low
830354,9,0,0,1,0,8,High
477291,0,2,2,1,0,10,Medium
308394,0,0,0,0,0,23,Low
181980,1,0,2,1,0,5,Low
401883,8,4,0,0,0,23,High
127127,1,1,1,1,0,14,Low
826060,1,2,0,0,2,13,Medium
993713,8,1,2,2,0,12,High
391562,4,2,1,0,1,18,Medium
653766,4,1,0,1,2,9,High
302488,0,2,0,0,0,12,Low
195078,9,2,2,2,0,16,High
98505,1,0,0,2,1,9,Low
117486,2,0,0,0,1,14,Low
72604,4,4,1,0,1,9,Medium
367047,1,0,0,0,0,22,Low
938160,1,0,2,2,0,18,High
354796,0,0,1,0,0,20,Low
28299,1,1,1,0,1,9,Low
885869,4,2,1,0,0,12,Medium
66261,0,2,1,0,2,23,Medium
165871,1,1,0,1,1,3,Low
35013,1,0,2,0,0,6,Low
445796,0,4,1,1,0,4,Medium
126517,4,1,0,0,0,19,Low
724609,1,0,0,0,0,23,Low
46451,2,3,1,0,0,0,Medium
777801,7,2,0,1,2,2,High
303028,5,0,2,1,2,16,High
161072,9,4,0,0,0,13,Medium
997435,7,3,0,2,2,9,High
381363,6,2,1,1,1,4,High
31817,4,1,2,0,0,23,Medium
622389,0,0,0,1,0,6,Medium
616098,9,1,1,1,0,0,High
246351,1,0,1,0,1,17,Low
561285,9,4,1,1,0,9,High
757996,6,0,1,0,0,17,Medium
972057,3,2,2,2,2,5,High
496784,0,0,1,2,0,22,Medium
522551,3,0,0,0,0,0,Medium
668546,3,1,1,1,2,4,High
479319,6,1,0,0,0,6,Medium
139937,3,0,0,1,0,3,Low
569690,0,1,2,2,0,13,High
35660,1,1,1,0,0,2,Low
814003,0,0,2,0,1,19,Medium
121676,1,0,0,2,1,14,Low
665991,2,1,0,1,2,5,High
233421,8,2,1,1,1,6,High
35091,1,0,1,0,1,20,Low
929796,0,2,0,1,1,6,Medium
548290,2,2,1,0,1,16,High
64329,1,0,1,0,1,14,Low
513857,1,0,1,1,0,4,Medium
120296,1,2,0,0,0,14,Low
787496,8,2,1,2,1,5,High
123738,0,4,0,0,1,22,Low
196376,1,0,1,0,0,18,Low
50342,1,0,2,0,0,15,Low
129626,1,3,0,0,1,11,Low
72763,7,2,2,0,2,12,High
373198,8,2,0,0,2,12,High
254482,5,3,1,2,2,13,High
462846,1,2,0,0,0,21,Low
77276,8,0,0,0,0,6,Low
155772,7,2,0,2,0,14,Medium
249116,4,0,0,1,1,12,Medium
48337,4,0,1,0,1,9,Low
861551,2,2,0,0,1,10,Medium
246572,4,3,2,1,0,11,High
452426,1,0,1,0,0,19,Low
157104,0,2,0,1,0,11,Low
695978,7,4,0,2,1,3,High
327942,6,0,1,0,1,4,Medium
414417,5,0,1,2,1,0,High
138756,1,0,1,2,0,18,Low
30623,0,3,0,0,0,17,Low
129657,0,0,1,0,0,0,Low
272139,0,4,2,0,1,22,Medium
195006,1,1,1,0,0,3,Low
144118,1,2,1,1,0,10,Low
50207,0,1,0,0,1,18,Low
589981,3,4,0,2,2,14,High
952454,2,0,2,2,2,6,High
844443,1,0,0,0,0,15,Low
54787,0,4,1,2,0,24,Medium
982509,8,0,0,2,1,0,High
157046,1,4,0,0,2,23,Medium
416456,1,0,1,0,1,5,Low
146164,9,1,1,0,1,23,Medium
910372,1,2,1,1,2,17,High
222858,0,3,0,1,2,5,High
852700,4,1,2,1,0,5,High
208698,0,4,1,1,0,2,Medium
162647,6,1,1,0,1,23,Medium
198893,0,1,2,0,0,3,Low
338379,4,4,1,0,1,16,High
133153,2,1,0,0,0,18,Low
202526,2,3,1,0,0,4,Medium
58211,0,4,1,1,1,15,Medium
127772,0,0,0,1,0,4,Low
93313,1,4,0,0,0,9,Low
108410,0,0,1,0,0,14,Low
968844,0,1,0,2,0,3,Medium
342670,2,3,0,0,0,6,Medium
124596,1,2,2,2,1,20,Medium
28267,1,0,0,0,1,6,Low
73811,5,0,2,0,2,14,Medium
211994,6,4,2,1,1,19,High
338372,5,0,2,0,1,15,High
640501,0,2,0,2,1,2,High
21676,0,2,0,1,1,16,Low
979092,5,4,2,2,0,8,High
179292,4,3,0,1,0,16,Medium
187399,0,4,2,0,0,17,Medium
140062,0,4,2,1,2,10,High
495562,2,0,1,1,1,2,Medium
226840,9,0,2,0,0,22,Medium
80254,0,0,0,1,2,11,Low
45428,0,4,1,0,0,2,Low
728029,3,2,0,1,2,9,High
193411,0,0,0,1,0,22,Low
335948,8,0,1,0,0,8,Medium
430204,7,0,0,1,0,23,Medium
298809,3,1,2,2,0,3,High
935100,2,4,0,0,0,11,High
159262,2,0,0,1,0,16,Low
540775,9,0,1,0,0,14,Medium
287296,3,1,0,0,1,13,Medium
26088,1,0,1,1,0,22,Low
328393,1,0,1,0,1,15,Low
90434,8,3,2,1,0,4,High
972809,4,1,1,1,0,9,High
519961,9,3,1,1,0,6,High
418913,3,0,1,2,1,12,High
25258,3,0,0,1,0,3,Low
239643,9,2,2,0,2,4,High
123581,4,0,0,1,0,2,Low
625716,3,1,0,2,0,24,High
98027,5,1,0,0,0,0,Medium
107620,2,0,1,1,0,24,Medium
798883,0,3,1,0,0,7,Medium
176823,4,0,1,0,2,19,Medium
975252,6,2,0,1,1,16,High
180533,3,0,1,0,1,17,Low
433725,5,0,0,0,2,4,Medium
844356,7,1,0,0,2,18,High
20537,1,1,1,0,0,1,Low
160657,0,0,2,1,0,13,Low
162632,8,4,0,0,0,8,Medium
251770,0,4,1,0,2,15,Medium
180945,0,3,0,0,0,8,Low
403352,5,0,2,1,2,6,High
895348,6,3,1,0,2,15,High
623026,8,2,1,1,2,23,High
722789,6,2,2,1,2,0,High
592551,1,1,0,0,2,19,Medium
987019,9,3,2,2,1,0,High
51626,1,0,1,0,2,16,Low
561631,2,0,2,2,0,21,High
85199,4,0,0,1,0,2,Low
339348,7,1,2,0,0,6,High
510424,9,1,1,0,0,3,High
104984,0,3,0,0,0,19,Low
51325,8,0,0,0,0,24,Low
578443,8,2,2,1,0,11,High
727535,4,4,1,2,0,8,High
171956,0,0,0,0,1,10,Low
39941,8,2,0,2,0,22,Medium
429123,2,2,1,0,0,5,Medium
727240,8,4,0,2,1,8,High
475868,1,2,1,0,2,1,Medium
197789,1,1,0,1,1,17,Low
517831,0,0,2,2,1,17,High
238605,0,0,0,0,0,23,Low
549678,9,3,0,2,0,22,High
122424,2,2,1,0,1,24,Medium
92062,0,0,1,0,2,24,Low
377792,5,3,2,0,0,23,High
125825,2,3,1,0,1,5,Medium
574198,1,4,1,0,2,1,High
602061,5,0,2,2,2,23,High
111751,6,2,1,2,2,0,High
896635,2,0,1,1,0,17,Medium
356189,0,2,0,0,0,17,Low
700769,1,0,0,2,2,3,High
298466,6,0,0,0,2,20,Medium
641371,0,2,1,0,2,22,Medium
134153,4,2,2,1,0,7,Medium
344569,1,4,0,0,1,0,Medium
465861,3,2,2,1,1,10,High
781609,3,0,1,1,2,6,High
704052,3,1,1,0,0,17,Medium
132333,7,0,0,1,2,5,Medium
403165,6,0,0,2,0,16,High
199403,9,2,1,2,0,14,High
573218,8,3,0,2,0,4,High
128364,7,3,2,2,0,4,High
351575,5,2,1,0,0,15,Medium
446488,3,0,1,0,1,5,Medium
93012,0,0,1,0,0,19,Low
422009,4,2,0,0,1,12,Medium
428963,1,0,0,0,0,3,Low
69054,9,3,2,0,2,9,High
282069,1,0,1,0,1,7,Low
933120,8,4,2,2,2,22,High
64076,0,1,1,1,0,4,Low
190956,1,0,1,0,2,5,Low
88745,0,2,0,0,0,12,Low
738687,4,2,2,2,0,21,High
667341,1,1,1,1,0,17,Medium
68119,6,0,1,1,0,16,Medium
85258,1,2,1,0,0,6,Low
83056,3,0,2,1,1,11,Medium
839133,8,3,1,1,0,11,High
326095,2,2,1,0,0,11,Medium
840627,6,0,2,2,2,16,High
348055,1,0,0,1,0,7,Low
325383,0,2,0,0,0,2,Low
699795,1,4,1,0,0,23,Medium
173466,4,1,0,0,2,14,Medium
64036,9,2,0,0,2,23,Medium
709954,5,2,0,1,0,18,High
69769,1,3,0,0,0,24,Low
712732,1,2,0,0,1,12,Medium
331531,0,4,0,2,0,4,Medium
131290,1,3,1,0,0,5,Low
852143,5,0,0,0,0,13,Medium
827254,7,3,0,1,2,18,High
331095,0,1,0,0,0,5,Low
241120,9,0,2,2,2,21,High
308081,1,0,1,2,0,3,Medium
95014,0,0,1,1,0,24,Low
47122,5,4,0,2,1,19,High
350492,5,0,0,0,0,4,Medium
690528,8,1,1,1,0,18,High
299373,1,0,0,0,0,4,Low
69649,0,2,1,1,0,17,Low
418422,0,3,1,0,1,3,Medium
221139,5,3,2,2,0,9,High
107819,0,1,0,0,1,16,Low
232232,3,1,0,1,0,10,Medium
44918,3,2,0,0,0,12,Low
308539,3,0,0,1,1,17,Medium
690774,1,4,1,2,2,5,High
318470,0,0,0,0,0,24,Low
40674,6,2,2,0,1,23,Medium
249047,4,3,0,0,0,0,High
60198,9,0,1,2,0,22,Medium
35890,0,0,2,0,1,22,Low
655967,2,1,1,2,1,9,High
930903,0,0,0,0,0,23,Low
128605,4,1,0,1,1,23,Medium
304988,0,0,0,0,2,24,Medium
119507,1,0,0,0,2,16,Low
545895,5,0,1,2,2,1,High
105615,1,0,2,0,0,5,Low
140521,3,0,1,0,0,2,Low
292997,7,4,2,2,2,17,High
416862,0,0,0,0,1,18,Low
457509,1,1,0,2,0,10,Medium
153795,3,3,2,1,2,7,High
393235,1,1,0,0,0,12,Low
707611,7,0,1,2,1,1,High
759126,1,2,1,2,1,19,High
125992,0,2,0,0,0,19,Low
607329,3,2,2,0,0,18,High
323294,2,3,0,1,2,15,High
629911,5,2,1,0,0,19,High
239237,6,2,1,1,0,13,High
188140,8,1,0,1,1,22,Medium
70822,1,1,1,0,0,0,Low
